,Age,Attrition,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,HourlyRate,JobLevel,JobSatisfaction,MaritalStatus,TravelTime,email
19,38,No,371,Research & Development,2,3,Life Sciences,24,Male,45,1,4,Single,1.64,2nmp207v@example.com
20,24,No,673,Research & Development,11,2,Other,26,Female,96,2,3,Divorced,1.64,lrnmr64o@example.com
21,36,Yes,1218,Sales,9,4,Life Sciences,27,Male,82,1,1,Single,1.64,dve112pl@example.com
22,34,No,419,Research & Development,7,4,Life Sciences,28,Female,53,3,2,Single,1.65,r3uwacnm@example.com
23,21,No,391,Research & Development,15,2,Life Sciences,30,Male,96,1,4,Single,1.65,herbubep@example.com
24,34,Yes,699,Research & Development,6,1,Medical,31,Male,83,1,1,Single,1.65,km1h6tse@example.com
25,53,No,1282,Research & Development,5,3,Other,32,Female,58,5,3,Divorced,1.65,yxvcqcdg@example.com
26,32,Yes,1125,Research & Development,16,1,Life Sciences,33,Female,72,1,1,Single,1.65,65jwls3r@example.com
27,42,No,691,Sales,8,4,Marketing,35,Male,48,2,2,Married,1.66,25p1a1fv@example.com
28,44,No,477,Research & Development,7,4,Medical,36,Female,42,3,4,Married,1.66,8f793upt@example.com
29,46,No,705,Sales,2,4,Marketing,38,Female,83,5,1,Single,1.66,13os4djx@example.com
30,33,No,924,Research & Development,2,3,Medical,39,Male,78,1,4,Single,1.66,8npfp9f3@example.com
31,44,No,1459,Research & Development,10,4,Other,40,Male,41,2,4,Married,1.66,twglqx35@example.com
32,30,No,125,Research & Development,9,2,Medical,41,Male,83,1,3,Single,1.67,03t1pgve@example.com
33,39,Yes,895,Sales,5,3,Technical Degree,42,Male,56,2,4,Married,1.67,zq1khc3k@example.com
34,24,Yes,813,Research & Development,1,3,Medical,45,Male,61,1,4,Married,1.67,e1lup37m@example.com
35,43,No,1273,Research & Development,2,2,Medical,46,Female,72,1,3,Divorced,1.67,bl87gtx7@example.com
36,50,Yes,869,Sales,3,2,Marketing,47,Male,86,1,3,Married,1.67,zadoq9v7@example.com
37,35,No,890,Sales,2,3,Marketing,49,Female,97,1,4,Married,1.68,gcpfhbkz@example.com
38,36,No,852,Research & Development,5,4,Life Sciences,51,Female,82,1,1,Married,1.68,y3qrizea@example.com
39,33,No,1141,Sales,1,3,Life Sciences,52,Female,42,2,1,Married,1.68,cfap0n7f@example.com
40,35,No,464,Research & Development,4,2,Other,53,Male,75,1,4,Divorced,1.68,j40hmzzw@example.com
41,27,No,1240,Research & Development,2,4,Life Sciences,54,Female,33,1,1,Divorced,1.69,z3pqoq7l@example.com
42,26,Yes,1357,Research & Development,25,3,Life Sciences,55,Male,48,1,3,Single,1.69,igm7orhm@example.com
43,27,No,994,Sales,8,3,Life Sciences,56,Male,37,3,3,Single,1.69,kcjjdjfk@example.com
44,30,No,721,Research & Development,1,2,Medical,57,Female,58,2,4,Single,1.69,s8u15uv1@example.com
45,41,Yes,1360,Research & Development,12,3,Technical Degree,58,Female,49,5,3,Married,1.69,uyxgqr94@example.com
46,34,No,1065,Sales,23,4,Marketing,60,Male,72,2,3,Single,1.7,dopntk7x@example.com
47,37,No,408,Research & Development,19,2,Life Sciences,61,Male,73,1,2,Married,1.7,5eiq4jfe@example.com
48,46,No,1211,Sales,5,4,Marketing,62,Male,98,2,4,Single,1.7,rtnx6s5m@example.com
49,35,No,1229,Research & Development,8,1,Life Sciences,63,Male,36,1,4,Married,1.7,cmd2jymd@example.com
50,48,Yes,626,Research & Development,1,2,Life Sciences,64,Male,98,3,3,Single,1.7,3pwwbych@example.com
51,28,Yes,1434,Research & Development,5,4,Technical Degree,65,Male,50,1,3,Single,1.71,7scot36r@example.com
52,44,No,1488,Sales,1,5,Marketing,68,Female,75,2,1,Divorced,1.71,x9ahjnzg@example.com
53,35,No,1097,Research & Development,11,2,Medical,70,Male,79,3,1,Married,1.71,2b7qefg3@example.com
54,26,No,1443,Sales,23,3,Marketing,72,Female,47,2,4,Married,1.71,6sp1hort@example.com
55,33,No,515,Research & Development,1,2,Life Sciences,73,Female,98,3,4,Single,1.71,n81yuswg@example.com
56,35,No,853,Sales,18,5,Life Sciences,74,Male,71,3,1,Married,1.72,nszobrsg@example.com
57,35,No,1142,Research & Development,23,4,Medical,75,Female,30,1,1,Married,1.72,7shx7bls@example.com
58,31,No,655,Research & Development,7,4,Life Sciences,76,Male,48,2,4,Divorced,1.72,aj15mpwb@example.com
59,37,No,1115,Research & Development,1,4,Life Sciences,77,Male,51,2,3,Divorced,1.72,sv59016m@example.com
60,32,No,427,Research & Development,1,3,Medical,78,Male,33,2,4,Married,1.72,gwnndc7p@example.com
61,38,No,653,Research & Development,29,5,Life Sciences,79,Female,50,2,4,Single,1.73,pfug345i@example.com
62,50,No,989,Research & Development,7,2,Medical,80,Female,43,5,3,Divorced,1.73,i34hkhzf@example.com
63,59,No,1435,Sales,25,3,Life Sciences,81,Female,99,3,1,Single,1.73,ba497awm@example.com
64,36,No,1223,Research & Development,8,3,Technical Degree,83,Female,59,3,3,Divorced,1.73,jh5vw2gi@example.com
65,55,No,836,Research & Development,8,3,Medical,84,Female,33,4,3,Divorced,1.73,crjqqyru@example.com
66,36,No,1195,Research & Development,11,3,Life Sciences,85,Male,95,2,2,Single,1.74,mcawejkb@example.com
67,45,No,1339,Research & Development,7,3,Life Sciences,86,Male,59,3,1,Divorced,1.74,2udfiya5@example.com
68,35,No,664,Research & Development,1,3,Medical,88,Male,79,1,1,Married,1.74,qyclxces@example.com
69,36,Yes,318,Research & Development,9,3,Medical,90,Male,79,1,3,Married,1.74,saau52cl@example.com
70,59,No,1225,Sales,1,1,Life Sciences,91,Female,57,2,3,Single,1.75,etl5ov6y@example.com
71,29,No,1328,Research & Development,2,3,Life Sciences,94,Male,76,1,2,Married,1.75,e241y8lz@example.com
72,31,No,1082,Research & Development,1,4,Medical,95,Male,87,1,2,Single,1.75,oygcfwng@example.com
73,32,No,548,Research & Development,1,3,Life Sciences,96,Male,66,2,2,Married,1.75,4br7n74s@example.com
74,36,No,132,Research & Development,6,3,Life Sciences,97,Female,55,1,4,Married,1.75,mg51bixa@example.com
75,31,No,746,Research & Development,8,4,Life Sciences,98,Female,61,2,4,Single,1.76,vholsmv4@example.com
76,35,No,776,Sales,1,4,Marketing,100,Male,32,2,1,Single,1.76,s060lg6r@example.com
77,45,No,193,Research & Development,6,4,Other,101,Male,52,3,1,Married,1.76,ypj1lmpo@example.com
78,37,No,397,Research & Development,7,4,Medical,102,Male,30,3,3,Single,1.76,wbz0095t@example.com
79,46,No,945,Human Resources,5,2,Medical,103,Male,80,2,2,Divorced,1.76,25y7u48m@example.com
80,30,No,852,Research & Development,1,1,Life Sciences,104,Male,55,2,4,Married,1.77,bvib0z3q@example.com
81,35,No,1214,Research & Development,1,3,Medical,105,Male,30,1,3,Single,1.77,wl9ialra@example.com
82,55,No,111,Sales,1,2,Life Sciences,106,Male,70,3,4,Married,1.77,lu5u960j@example.com
83,38,No,573,Research & Development,6,3,Medical,107,Female,79,2,4,Divorced,1.77,21o24mqh@example.com
84,34,No,1153,Research & Development,1,2,Medical,110,Male,94,2,2,Married,1.77,27xfumta@example.com
85,56,No,1400,Research & Development,7,3,Life Sciences,112,Male,49,3,4,Single,1.78,m5m756q2@example.com
86,23,No,541,Sales,2,1,Technical Degree,113,Male,62,1,1,Divorced,1.78,58m4gmos@example.com
87,51,No,432,Research & Development,9,4,Life Sciences,116,Male,96,1,4,Married,1.78,i5sxfg3x@example.com
88,30,No,288,Research & Development,2,3,Life Sciences,117,Male,99,2,4,Married,1.78,7u43ru65@example.com
89,46,Yes,669,Sales,9,2,Medical,118,Male,64,3,4,Single,1.78,cy2slcaq@example.com
90,40,No,530,Research & Development,1,4,Life Sciences,119,Male,78,4,2,Married,1.79,0bdf3wbu@example.com
91,51,No,632,Sales,21,4,Marketing,120,Male,71,2,4,Single,1.79,u1eqv2wo@example.com
92,30,No,1334,Sales,4,2,Medical,121,Female,63,2,2,Divorced,1.79,gbp69jln@example.com
93,46,No,638,Research & Development,1,3,Medical,124,Male,40,3,1,Married,1.79,4hpkpgl8@example.com
94,32,No,1093,Sales,6,4,Medical,125,Male,87,2,3,Single,1.8,ur0ngup1@example.com
95,54,No,1217,Research & Development,2,4,Technical Degree,126,Female,60,3,3,Married,1.8,ek06dvj0@example.com
96,24,No,1353,Sales,3,2,Other,128,Female,33,2,3,Married,1.8,bf0fiz3w@example.com
97,28,No,120,Sales,4,3,Medical,129,Male,43,2,3,Married,1.8,bpqkuqpv@example.com
98,58,No,682,Sales,10,4,Medical,131,Male,37,4,3,Single,1.8,zhr5vx5f@example.com
99,44,No,489,Research & Development,23,3,Medical,132,Male,67,2,2,Married,1.81,lqmtlixk@example.com
100,37,Yes,807,Human Resources,6,4,Human Resources,133,Male,63,1,1,Divorced,1.81,dbcurb9r@example.com
101,32,No,827,Research & Development,1,1,Life Sciences,134,Male,71,1,1,Single,1.81,9j59dn9i@example.com
102,20,Yes,871,Research & Development,6,3,Life Sciences,137,Female,66,1,4,Single,1.81,fkv1ghrl@example.com
103,34,No,665,Research & Development,6,4,Other,138,Female,41,2,3,Single,1.81,b07rozke@example.com
104,37,No,1040,Research & Development,2,2,Life Sciences,139,Male,100,2,4,Divorced,1.82,x32is9nw@example.com
105,59,No,1420,Human Resources,2,4,Human Resources,140,Female,32,5,4,Married,1.82,erp1o43x@example.com
106,50,No,1115,Research & Development,1,3,Life Sciences,141,Female,73,5,2,Married,1.82,adtkpik0@example.com
107,25,Yes,240,Sales,5,3,Marketing,142,Male,46,2,3,Single,1.82,439a6o00@example.com
108,25,No,1280,Research & Development,7,1,Medical,143,Male,64,1,4,Married,1.82,9x9y0ent@example.com
109,22,No,534,Research & Development,15,3,Medical,144,Female,59,1,4,Single,1.83,pmpitu7u@example.com
110,51,No,1456,Research & Development,1,4,Medical,145,Female,30,3,1,Single,1.83,3i1a2liv@example.com
111,34,Yes,658,Research & Development,7,3,Life Sciences,147,Male,66,2,3,Single,1.83,g8m1s63b@example.com
112,54,No,142,Human Resources,26,3,Human Resources,148,Female,30,4,4,Single,1.83,vxbbewj2@example.com
113,24,No,1127,Research & Development,18,1,Life Sciences,150,Male,52,1,3,Married,1.83,l5ibvjxx@example.com
114,34,No,1031,Research & Development,6,4,Life Sciences,151,Female,45,2,2,Divorced,1.84,c28m5554@example.com
115,37,No,1189,Sales,3,3,Life Sciences,152,Male,87,3,4,Single,1.84,r5pvarn9@example.com
116,34,No,1354,Research & Development,5,3,Medical,153,Female,45,3,1,Single,1.84,glymgnu4@example.com
117,36,No,1467,Sales,11,2,Technical Degree,154,Female,92,3,4,Married,1.84,06y7gqpb@example.com
118,36,No,922,Research & Development,3,2,Life Sciences,155,Female,39,1,4,Divorced,1.84,4jktxufy@example.com
119,43,No,394,Sales,26,2,Life Sciences,158,Male,92,4,4,Married,1.85,t6zb4t72@example.com
120,30,No,1312,Research & Development,23,3,Life Sciences,159,Male,96,1,3,Divorced,1.85,2lnz05o2@example.com
121,33,No,750,Sales,22,2,Marketing,160,Male,95,2,2,Married,1.85,a0xooz31@example.com
122,56,Yes,441,Research & Development,14,4,Life Sciences,161,Female,72,1,2,Married,1.85,es4twveu@example.com
123,51,No,684,Research & Development,6,3,Life Sciences,162,Male,51,5,3,Single,1.86,zhpd47s2@example.com
124,31,Yes,249,Sales,6,4,Life Sciences,163,Male,76,2,3,Married,1.86,w8sw3dm8@example.com
125,26,No,841,Research & Development,6,3,Other,164,Female,46,1,2,Married,1.86,3mdp3xkf@example.com
126,58,Yes,147,Research & Development,23,4,Medical,165,Female,94,3,4,Married,1.86,6q3svjof@example.com
127,19,Yes,528,Sales,22,1,Marketing,167,Male,50,1,3,Single,1.86,j4j96osq@example.com
128,22,No,594,Research & Development,2,1,Technical Degree,169,Male,100,1,4,Married,1.87,kgc324ul@example.com
129,49,No,470,Research & Development,20,4,Medical,170,Female,96,2,1,Married,1.87,3nks4g97@example.com
130,43,No,957,Research & Development,28,3,Medical,171,Female,72,1,3,Single,1.87,0gd9kb84@example.com
131,50,No,809,Sales,12,3,Marketing,174,Female,77,3,4,Single,1.87,57s1w6yg@example.com
132,31,Yes,542,Sales,20,3,Life Sciences,175,Female,71,2,3,Married,1.87,qxhcrdyp@example.com
133,41,No,802,Sales,9,1,Life Sciences,176,Male,96,3,3,Divorced,1.88,zucb2a4t@example.com
134,26,No,1355,Human Resources,25,1,Life Sciences,177,Female,61,1,3,Married,1.88,dwsadsty@example.com
135,36,No,216,Research & Development,6,2,Medical,178,Male,84,2,2,Divorced,1.88,3fh31fb9@example.com
136,51,Yes,1150,Research & Development,8,4,Life Sciences,179,Male,53,3,4,Single,1.88,0ryxcf02@example.com
137,39,No,1329,Sales,4,4,Life Sciences,182,Female,47,2,3,Married,1.88,0wpioj99@example.com
138,25,No,959,Sales,28,3,Life Sciences,183,Male,41,2,3,Married,1.89,wftn37nb@example.com
139,30,No,1240,Human Resources,9,3,Human Resources,184,Male,48,2,4,Married,1.89,avmraeto@example.com
140,32,Yes,1033,Research & Development,9,3,Medical,190,Female,41,1,1,Single,1.89,temk5kel@example.com
141,45,No,1316,Research & Development,29,3,Medical,192,Male,83,1,4,Single,1.89,7odjwwmg@example.com
142,38,No,364,Research & Development,3,5,Technical Degree,193,Female,32,2,3,Single,1.89,pkgoxvj1@example.com
143,30,No,438,Research & Development,18,3,Life Sciences,194,Female,75,1,3,Single,1.9,vac0axtq@example.com
144,32,No,689,Sales,9,2,Medical,195,Male,35,2,4,Divorced,1.9,7sxjeplh@example.com
145,30,No,201,Research & Development,5,3,Technical Degree,197,Female,84,1,1,Divorced,1.9,u8h7ox5p@example.com
146,30,No,1427,Research & Development,2,1,Medical,198,Male,35,1,4,Single,1.9,lmfp633q@example.com
147,41,No,857,Research & Development,10,3,Life Sciences,199,Male,91,4,1,Divorced,1.91,fmgxtk39@example.com
148,41,No,933,Research & Development,9,4,Life Sciences,200,Male,94,1,1,Married,1.91,41l7m20l@example.com
149,19,No,1181,Research & Development,3,1,Medical,201,Female,79,1,2,Single,1.91,5tmf33gd@example.com
150,40,No,1395,Research & Development,26,3,Medical,202,Female,54,2,2,Divorced,1.91,785q5v4w@example.com
151,35,No,662,Sales,1,5,Marketing,204,Male,94,3,2,Married,1.91,31bawddx@example.com
152,53,No,1436,Sales,6,2,Marketing,205,Male,34,2,3,Married,1.92,tf26sqvp@example.com
153,45,No,194,Research & Development,9,3,Life Sciences,206,Male,60,2,2,Divorced,1.92,qrqkncfl@example.com
154,32,No,967,Sales,8,3,Marketing,207,Female,43,3,4,Single,1.92,eaiglcb5@example.com
155,29,No,1496,Research & Development,1,1,Technical Degree,208,Male,41,2,3,Married,1.92,fhkcrhyz@example.com
156,51,No,1169,Research & Development,7,4,Medical,211,Male,34,2,3,Married,1.92,u69qzucf@example.com
157,58,No,1145,Research & Development,9,3,Medical,214,Female,75,1,2,Married,1.93,78hofaxr@example.com
158,40,No,630,Sales,4,4,Marketing,215,Male,67,3,4,Married,1.93,a2j1q8wu@example.com
159,34,No,303,Sales,2,4,Marketing,216,Female,75,1,3,Married,1.93,03dn2z4i@example.com
160,22,No,1256,Research & Development,19,1,Medical,217,Male,80,1,4,Married,1.93,36z2xtb7@example.com
161,27,No,691,Research & Development,9,3,Medical,218,Male,57,1,2,Divorced,1.93,v7cxodt2@example.com
162,28,No,440,Research & Development,21,3,Medical,221,Male,42,1,4,Married,1.94,8026x1cq@example.com
163,57,No,334,Research & Development,24,2,Life Sciences,223,Male,83,3,4,Divorced,1.94,igmdwnjs@example.com
164,27,No,1450,Research & Development,3,3,Medical,224,Male,79,1,3,Divorced,1.94,ewm9ldx4@example.com
165,50,No,1452,Research & Development,11,3,Life Sciences,226,Female,53,5,2,Single,1.94,bvee5m79@example.com
166,41,No,465,Research & Development,14,3,Life Sciences,227,Male,56,1,3,Divorced,1.94,hu4ybfgm@example.com
167,30,No,1339,Sales,5,3,Life Sciences,228,Female,41,3,4,Married,1.95,mj5wxo4g@example.com
168,38,No,702,Sales,1,4,Life Sciences,230,Female,59,2,4,Single,1.95,hlkvhq8f@example.com
169,32,No,120,Research & Development,6,5,Life Sciences,231,Male,43,1,3,Single,1.95,7up4oek6@example.com
170,27,No,1157,Research & Development,17,3,Technical Degree,233,Male,51,1,2,Married,1.95,7od86fqr@example.com
171,19,Yes,602,Sales,1,1,Technical Degree,235,Female,100,1,1,Single,1.96,03dbr9yb@example.com
172,36,No,1480,Research & Development,3,2,Medical,238,Male,30,1,2,Single,1.96,jyllrsa6@example.com
173,30,No,111,Research & Development,9,3,Medical,239,Male,66,2,1,Divorced,1.96,e63o9n8s@example.com
174,45,No,1268,Sales,4,2,Life Sciences,240,Female,30,2,1,Divorced,1.96,i6a7ekgn@example.com
175,56,No,713,Research & Development,8,3,Life Sciences,241,Female,67,1,1,Divorced,1.96,hku33egn@example.com
176,33,No,134,Research & Development,2,3,Life Sciences,242,Male,90,1,4,Single,1.97,hadcxryy@example.com
177,19,Yes,303,Research & Development,2,3,Life Sciences,243,Male,47,1,4,Single,1.97,6x2255e9@example.com
178,46,No,526,Sales,1,2,Marketing,244,Female,92,3,1,Divorced,1.97,7pua1jpj@example.com
179,38,No,1380,Research & Development,9,2,Life Sciences,245,Female,75,1,4,Single,1.97,5mul23dd@example.com
180,31,No,140,Research & Development,12,1,Medical,246,Female,95,1,4,Married,1.97,u60dqggz@example.com
181,34,No,629,Research & Development,27,2,Medical,247,Female,95,1,2,Single,1.98,95slqlr3@example.com
182,41,Yes,1356,Sales,20,2,Marketing,248,Female,70,1,2,Single,1.98,syjgeb9a@example.com
183,50,No,328,Research & Development,1,3,Medical,249,Male,86,1,3,Married,1.98,qufm749r@example.com
184,53,No,1084,Research & Development,13,2,Medical,250,Female,57,2,1,Divorced,1.98,n7uo0l9v@example.com
185,33,No,931,Research & Development,14,3,Medical,252,Female,72,1,2,Married,1.98,3ctpmsr7@example.com
186,40,No,989,Research & Development,4,1,Medical,253,Female,46,5,3,Married,1.99,113n8vb5@example.com
187,55,No,692,Research & Development,14,4,Medical,254,Male,61,5,2,Single,1.99,fxgz1h0b@example.com
188,34,No,1069,Research & Development,2,1,Life Sciences,256,Male,45,2,3,Married,1.99,8x1dmw84@example.com
189,51,No,313,Research & Development,3,3,Medical,258,Female,98,4,2,Single,1.99,vu72vazq@example.com
190,52,No,699,Research & Development,1,4,Life Sciences,259,Male,65,5,3,Married,1.99,a1q10vj1@example.com
191,27,No,894,Research & Development,9,3,Medical,260,Female,99,1,2,Single,2.0,qb8hu5hw@example.com
192,35,Yes,556,Research & Development,23,2,Life Sciences,261,Male,50,2,3,Married,2.0,t3vte7h0@example.com
193,43,No,1344,Research & Development,7,3,Medical,262,Male,37,1,4,Divorced,2.0,5k70sryo@example.com
194,45,No,1195,Research & Development,2,2,Medical,264,Male,65,4,4,Married,2.0,lbn31c18@example.com
195,37,No,290,Research & Development,21,3,Life Sciences,267,Male,65,1,1,Married,2.0,35h223kt@example.com
196,35,No,138,Research & Development,2,3,Medical,269,Female,37,2,2,Single,2.01,bw34t30d@example.com
197,42,No,926,Research & Development,21,2,Medical,270,Female,36,2,3,Divorced,2.01,fgwplvr2@example.com
198,38,No,1261,Research & Development,2,4,Life Sciences,271,Male,88,2,3,Married,2.01,bocdme34@example.com
199,38,No,1084,Research & Development,29,3,Technical Degree,273,Male,54,2,4,Married,2.01,v8ugye0u@example.com
200,27,No,472,Research & Development,1,1,Technical Degree,274,Male,60,2,1,Married,2.02,ll879k9g@example.com
201,49,No,1002,Research & Development,18,4,Life Sciences,275,Male,92,2,4,Divorced,2.02,h4z2r1gj@example.com
202,34,No,878,Research & Development,10,4,Medical,277,Male,43,1,3,Divorced,2.02,bueuyjkk@example.com
203,40,No,905,Research & Development,19,2,Medical,281,Male,99,2,4,Married,2.02,dj7mvslc@example.com
204,38,Yes,1180,Research & Development,29,1,Medical,282,Male,70,2,1,Married,2.02,65t1bhi4@example.com
205,29,Yes,121,Sales,27,3,Marketing,283,Female,35,3,4,Married,2.03,mnd3fbts@example.com
206,22,No,1136,Research & Development,5,3,Life Sciences,284,Male,60,1,2,Divorced,2.03,mc2391im@example.com
207,36,No,635,Research & Development,18,1,Medical,286,Female,73,1,4,Single,2.03,f2ehnabs@example.com
208,40,No,1151,Research & Development,9,5,Life Sciences,287,Male,63,2,4,Married,2.03,t7ucx8gb@example.com
209,46,No,644,Research & Development,1,4,Medical,288,Male,97,3,1,Divorced,2.03,7sgmu6p2@example.com
210,32,Yes,1045,Sales,4,4,Medical,291,Male,32,3,4,Married,2.04,7lt7hmqu@example.com
211,30,No,829,Research & Development,1,1,Life Sciences,292,Male,88,3,3,Single,2.04,p2agyug6@example.com
212,27,No,1242,Sales,20,3,Life Sciences,293,Female,90,2,3,Single,2.04,2g2bzriu@example.com
213,51,No,1469,Research & Development,8,4,Life Sciences,296,Male,81,3,2,Married,2.04,by3ysbc8@example.com
214,30,Yes,1005,Research & Development,3,3,Technical Degree,297,Female,88,1,1,Single,2.04,n625wm3d@example.com
215,41,No,896,Sales,6,3,Life Sciences,298,Female,75,3,4,Single,2.05,0z64ixom@example.com
216,30,Yes,334,Sales,26,4,Marketing,299,Female,52,2,1,Single,2.05,bbtzu1e8@example.com
217,29,Yes,992,Research & Development,1,3,Technical Degree,300,Male,85,1,3,Single,2.05,yew4a7cg@example.com
218,45,No,1052,Sales,6,3,Medical,302,Female,57,3,4,Single,2.05,y4fqqm36@example.com
219,54,No,1147,Sales,3,3,Marketing,303,Female,52,2,1,Married,2.05,mjvxxve4@example.com
220,36,No,1396,Research & Development,5,2,Life Sciences,304,Male,62,2,2,Single,2.06,4pfl1xho@example.com
221,33,No,147,Research & Development,4,4,Medical,305,Female,47,1,2,Married,2.06,p50gkeag@example.com
222,37,No,663,Research & Development,11,3,Other,306,Male,47,3,4,Divorced,2.06,58figli5@example.com
223,38,No,119,Sales,3,3,Life Sciences,307,Male,76,3,3,Divorced,2.06,i5ifgb8i@example.com
224,31,No,979,Research & Development,1,4,Medical,308,Male,90,2,3,Married,2.07,ayq0wybv@example.com
225,59,No,142,Research & Development,3,3,Life Sciences,309,Male,70,1,4,Married,2.07,rbwot4uu@example.com
226,37,No,319,Sales,4,4,Marketing,311,Male,41,1,4,Divorced,2.07,plxmuifu@example.com
227,29,No,1413,Sales,1,1,Medical,312,Female,42,3,4,Married,2.07,bvhctmnj@example.com
228,35,No,944,Sales,1,3,Marketing,314,Female,92,3,3,Single,2.07,uqcnd6mt@example.com
229,29,Yes,896,Research & Development,18,1,Medical,315,Male,86,1,4,Single,2.08,hb2fjawg@example.com
230,52,No,1323,Research & Development,2,3,Life Sciences,316,Female,89,1,4,Single,2.08,vgrquuw1@example.com
231,42,No,532,Research & Development,4,2,Technical Degree,319,Male,58,5,4,Married,2.08,ktn06621@example.com
232,59,No,818,Human Resources,6,2,Medical,321,Male,52,1,3,Married,2.08,lzicyiwe@example.com
233,50,No,854,Sales,1,4,Medical,323,Female,68,5,4,Divorced,2.08,au1wtbeo@example.com
234,33,Yes,813,Research & Development,14,3,Medical,325,Male,58,1,4,Married,2.09,lqn989s9@example.com
235,43,No,1034,Sales,16,3,Marketing,327,Female,80,4,4,Married,2.09,dt0hkpt4@example.com
236,33,Yes,465,Research & Development,2,2,Life Sciences,328,Female,39,1,1,Married,2.09,o9611kny@example.com
237,52,No,771,Sales,2,4,Life Sciences,329,Male,79,5,3,Single,2.09,hw6sykc3@example.com
238,32,No,1401,Sales,4,2,Life Sciences,330,Female,56,1,2,Married,2.09,18xq4jbo@example.com
239,32,Yes,515,Research & Development,1,3,Life Sciences,331,Male,62,1,3,Single,2.1,2r5ln161@example.com
240,39,No,1431,Research & Development,1,4,Medical,332,Female,96,1,3,Divorced,2.1,0obxwoty@example.com
241,32,No,976,Sales,26,4,Marketing,333,Male,100,2,4,Married,2.1,jkpnl8lq@example.com
242,41,No,1411,Research & Development,19,2,Life Sciences,334,Male,36,2,1,Divorced,2.1,5ujc0r2d@example.com
243,40,No,1300,Research & Development,24,2,Technical Degree,335,Male,62,2,4,Divorced,2.1,7g0wdq5y@example.com
244,45,No,252,Research & Development,1,3,Other,336,Male,70,5,4,Married,2.11,3r7g7296@example.com
245,31,No,1327,Research & Development,3,4,Medical,337,Male,73,3,3,Divorced,2.11,ar916lvz@example.com
246,33,No,832,Research & Development,5,4,Life Sciences,338,Female,63,1,4,Married,2.11,euq5ou6w@example.com
247,34,No,470,Research & Development,2,4,Life Sciences,339,Male,84,2,1,Married,2.11,bz34g7ks@example.com
248,37,No,1017,Research & Development,1,2,Medical,340,Female,83,1,1,Married,2.11,tspoo86f@example.com
249,45,No,1199,Research & Development,7,4,Life Sciences,341,Male,77,2,3,Married,2.12,3s0o0jh7@example.com
250,37,Yes,504,Research & Development,10,3,Medical,342,Male,61,3,3,Divorced,2.12,f780jdo8@example.com
251,39,No,505,Research & Development,2,4,Technical Degree,343,Female,64,3,3,Single,2.12,baexou9z@example.com
252,29,No,665,Research & Development,15,3,Life Sciences,346,Male,60,1,4,Single,2.12,3am6br48@example.com
253,42,No,916,Research & Development,17,2,Life Sciences,347,Female,82,2,1,Single,2.13,5iw8525w@example.com
254,29,No,1247,Sales,20,2,Marketing,349,Male,45,2,4,Divorced,2.13,xbho6vp6@example.com
255,25,No,685,Research & Development,1,3,Life Sciences,350,Female,62,2,3,Married,2.13,pnq7343m@example.com
